"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 20 13:42:55 GMT 2023","Wed Dec 20 13:42:56 GMT 2023","915","","Visual Regression -Login Page","","","","Tablet Layout",""
"passed","Wed Dec 20 13:42:20 GMT 2023","Wed Dec 20 13:42:26 GMT 2023","5603","","Visual Regression","","","","should verify the content of the pdf file",""
"passed","Wed Dec 20 13:42:49 GMT 2023","Wed Dec 20 13:42:49 GMT 2023","13","","Cypress Tests with Docker","","","","should load h1 element",""
"passed","Wed Dec 20 13:42:34 GMT 2023","Wed Dec 20 13:42:41 GMT 2023","7314","","Verify drag and drop","","","","should able to drag and drop element on Material Angular example page",""
"passed","Wed Dec 20 13:42:49 GMT 2023","Wed Dec 20 13:42:49 GMT 2023","71","","Cypress Tests with Docker","","","","should load website",""
"passed","Wed Dec 20 13:42:49 GMT 2023","Wed Dec 20 13:42:49 GMT 2023","380","","Visual Regression","","","","Should match https://example.com in resolution 1200,800",""
"passed","Wed Dec 20 13:42:48 GMT 2023","Wed Dec 20 13:42:48 GMT 2023","314","","Visual Regression","","","","Should match https://example.com in resolution iphone-6",""
"passed","Wed Dec 20 13:42:20 GMT 2023","Wed Dec 20 13:42:20 GMT 2023","391","","Visual Regression","","","","Data table snapshot",""
"passed","Wed Dec 20 13:42:19 GMT 2023","Wed Dec 20 13:42:20 GMT 2023","219","","Visual Regression","","","","Should load account activity",""
"passed","Wed Dec 20 13:42:49 GMT 2023","Wed Dec 20 13:42:49 GMT 2023","259","","Single Element Snapshot","","","","Should match a single element on the page",""
"passed","Wed Dec 20 13:42:48 GMT 2023","Wed Dec 20 13:42:49 GMT 2023","331","","Visual Regression","","","","Should match https://example.com in resolution ipad-2",""
"passed","Wed Dec 20 13:42:56 GMT 2023","Wed Dec 20 13:42:57 GMT 2023","899","","Visual Regression -Login Page","","","","Mobile Layout",""
"passed","Wed Dec 20 13:42:32 GMT 2023","Wed Dec 20 13:42:32 GMT 2023","533","","Verify drag and drop","","","","should drag and drop a draggable item - example 1",""
"passed","Wed Dec 20 13:43:03 GMT 2023","Wed Dec 20 13:43:04 GMT 2023","1126","","Visual Testing with Percy and Cypress","","","","should take percy snapshot",""
"passed","Wed Dec 20 13:42:54 GMT 2023","Wed Dec 20 13:42:55 GMT 2023","1095","","Visual Regression -Login Page","","","","Desktop Layout",""
