"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 12 20:05:24 GMT 2023","Tue Dec 12 20:05:25 GMT 2023","1274","","Visual Regression -Login Page","","","","Tablet Layout",""
"passed","Tue Dec 12 20:05:22 GMT 2023","Tue Dec 12 20:05:24 GMT 2023","2093","","Visual Regression -Login Page","","","","Desktop Layout",""
"passed","Tue Dec 12 20:05:15 GMT 2023","Tue Dec 12 20:05:15 GMT 2023","320","","Visual Regression","","","","Should match https://example.com in resolution iphone-6",""
"passed","Tue Dec 12 20:05:09 GMT 2023","Tue Dec 12 20:05:09 GMT 2023","613","","Visual Regression","","","","Data table snapshot",""
"passed","Tue Dec 12 20:05:16 GMT 2023","Tue Dec 12 20:05:16 GMT 2023","346","","Visual Regression","","","","Should match https://example.com in resolution 1200,800",""
"passed","Tue Dec 12 20:05:08 GMT 2023","Tue Dec 12 20:05:09 GMT 2023","708","","Visual Regression","","","","Should load account activity",""
"passed","Tue Dec 12 20:05:31 GMT 2023","Tue Dec 12 20:05:32 GMT 2023","1130","","Visual Testing with Percy and Cypress","","","","should take percy snapshot",""
"passed","Tue Dec 12 20:05:25 GMT 2023","Tue Dec 12 20:05:26 GMT 2023","1168","","Visual Regression -Login Page","","","","Mobile Layout",""
"passed","Tue Dec 12 20:05:16 GMT 2023","Tue Dec 12 20:05:16 GMT 2023","291","","Single Element Snapshot","","","","Should match a single element on the page",""
"passed","Tue Dec 12 20:05:16 GMT 2023","Tue Dec 12 20:05:16 GMT 2023","26","","Cypress Tests with Docker","","","","should load h1 element",""
"passed","Tue Dec 12 20:05:15 GMT 2023","Tue Dec 12 20:05:16 GMT 2023","283","","Visual Regression","","","","Should match https://example.com in resolution ipad-2",""
"passed","Tue Dec 12 20:05:16 GMT 2023","Tue Dec 12 20:05:16 GMT 2023","46","","Cypress Tests with Docker","","","","should load website",""
